Year,Month,Date,victim_race,victim_age,victim_sex,city,state,disposition
2010,5,4,Hispanic,78,Male,Albuquerque,NM,Closed without arrest
2010,2,16,Hispanic,17,Male,Albuquerque,NM,Closed by arrest
2010,6,1,White,15,Female,Albuquerque,NM,Closed without arrest
2010,1,1,Hispanic,32,Male,Albuquerque,NM,Closed by arrest
2010,1,2,White,72,Female,Albuquerque,NM,Closed without arrest
2010,1,26,White,91,Female,Albuquerque,NM,Open/No arrest
2010,1,27,Hispanic,52,Male,Albuquerque,NM,Closed by arrest
2010,1,27,Hispanic,52,Female,Albuquerque,NM,Closed by arrest
2010,1,30,White,56,Male,Albuquerque,NM,Open/No arrest
2010,2,10,Hispanic,43,Male,Albuquerque,NM,Open/No arrest
2010,2,12,Hispanic,20,Male,Albuquerque,NM,Closed by arrest
2010,2,18,White,-500,Male,Albuquerque,NM,Closed without arrest
2010,2,22,Hispanic,46,Male,Albuquerque,NM,Open/No arrest
2010,3,6,Other,16,Male,Albuquerque,NM,Closed by arrest
2010,3,8,Hispanic,54,Male,Albuquerque,NM,Closed by arrest
2010,3,8,White,43,Female,Albuquerque,NM,Closed by arrest
2010,3,22,Hispanic,52,Male,Albuquerque,NM,Closed by arrest
2010,3,23,White,52,Male,Albuquerque,NM,Closed by arrest
2010,4,2,White,22,Female,Albuquerque,NM,Closed by arrest
2010,4,20,Hispanic,49,Male,Albuquerque,NM,Closed by arrest
2010,4,23,Black,15,Male,Albuquerque,NM,Closed by arrest
2010,4,23,Black,25,Male,Albuquerque,NM,Closed by arrest
2010,5,18,White,20,Male,Albuquerque,NM,Closed by arrest
2010,6,2,Other,47,Male,Albuquerque,NM,Closed by arrest
2010,6,2,White,88,Female,Albuquerque,NM,Closed without arrest
2010,6,3,Hispanic,27,Female,Albuquerque,NM,Closed by arrest
2010,7,12,White,36,Female,Albuquerque,NM,Closed without arrest
2010,7,12,White,47,Female,Albuquerque,NM,Closed without arrest
2010,7,26,Asian,1,Female,Albuquerque,NM,Closed without arrest
2010,7,28,Hispanic,58,Male,Albuquerque,NM,Open/No arrest
2010,7,28,Hispanic,42,Male,Albuquerque,NM,Closed without arrest
2010,8,18,Hispanic,50,Male,Albuquerque,NM,Closed by arrest
2010,8,20,Other,3,Female,Albuquerque,NM,Closed by arrest
2010,8,22,Hispanic,1,Male,Albuquerque,NM,Closed by arrest
2010,8,22,Hispanic,21,Female,Albuquerque,NM,Closed by arrest
2010,9,2,Hispanic,19,Female,Albuquerque,NM,Closed by arrest
2011,6,6,Hispanic,46,Male,Albuquerque,NM,Closed by arrest
2010,9,16,Other,95,Female,Albuquerque,NM,Closed without arrest
2010,9,19,White,24,Male,Albuquerque,NM,Closed by arrest
2010,9,19,White,41,Male,Albuquerque,NM,Closed by arrest
2010,10,9,White,50,Male,Albuquerque,NM,Closed by arrest
2010,10,24,White,51,Male,Albuquerque,NM,Closed by arrest
2010,10,28,Black,18,Male,Albuquerque,NM,Closed by arrest
